Number,  Location,  Area,  Price,Bedrooms,Bathrooms,Wardrobes,Cabinets,Balcony,Parking,Quarters
1,Kinyinya,25/35 m,55 000 000  Rwf,4.0,1.0,,,,Yes,Yes
2,Gacuriro, sqm,180 000 000  Rwf,4.0,4.0,,,Yes,,
3,Kabeza,25/30 m,45 000 000  Rwf,4.0,3.0,,,,,
4,, sqm,8 500 000  Rwf,3.0,,,,,,
5,Kimironko, sqm,28 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
6,,20/30 m,42 000 000  Rwf,,,,,,,
7,Karumuna,35/30 m,50 000 000  Rwf,4.0,3.0,,,,,
8,Rebero,545 sqm,22 000 000  Rwf,4.0,1.0,,,,,
9,,600 sqm,45 000 000  Rwf,4.0,4.0,,,Yes,,Yes
10,Kimironko, sqm,60 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
11,Kimironko,25/30 m,150 000 000  Rwf,4.0,3.0,,,,,
12,Masaka,25/30 m,45 000 000  Rwf,,1.0,,,,Yes,Yes
13,Kicukiro, sqm,75 000 000  Rwf,6.0,3.0,,,,Yes,Yes
14,,25/20 m,38 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
15,Gisozi,20/30 m,50 000 000  Rwf,4.0,3.0,,,,Yes,Yes
16,Kimironko,25/30 m,150 000 000  Rwf,5.0,3.0,,,,Yes,Yes
17,Kicukiro, sqm,90 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,
18,Gasogi, sqm,10 000 000  Rwf,,,,,,,Yes
19,Niboyi, sqm,60 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
20,Kanombe,25/30 m,45 000 000  Rwf,4.0,3.0,,,,Yes,Yes
21,,22/30 m,55 000 000  Rwf,4.0,3.0,,,,Yes,
22,Kibagabaga,25/25 m,120 000 000  Rwf,,1.0,,,,Yes,Yes
23,Kimironko, sqm,55 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
24,Karuruma, sqm,45 000 000  Rwf,4.0,3.0,,Yes,,,
25,Rusororo,30/30 m,95 000 000  Rwf,4.0,4.0,,,,Yes,
26,Kimironko, sqm,50 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
27,Kimironko, sqm,68 000 000  Rwf,4.0,3.0,,Yes,,,
28,Kicukiro,25/30 m,75 000 000  Rwf,5.0,3.0,,,,Yes,Yes
29,Kanombe, sqm,45 000 000  Rwf,4.0,3.0,,,,,Yes
30,Kanombe, sqm,55 000 000  Rwf,4.0,3.0,,Yes,,,
31,Kanombe,30/25 m,60 000 000  Rwf,4.0,3.0,,,,Yes,Yes
32,, sqm,130 000 000  Rwf,4.0,3.0,,Yes,,Yes,
33,, sqm,70 000 000  Rwf,4.0,4.0,Yes,Yes,Yes,Yes,
34,Gacuriro,25/30 m,40 000 000  Rwf,,,,,,,
35,Kanombe, sqm,47 000 000  Rwf,4.0,3.0,,,,Yes,Yes
36,Nyarutarama,30/25 m,350 000 000  Rwf,7.0,6.0,Yes,,,Yes,Yes
37,Kibagabaga,30/40 m, 2 500 $,5.0,5.0,,,,Yes,Yes
38,,25/30 m,60 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
39,Kicukiro,35/30 m,160 000 000  Rwf,5.0,4.0,,,,Yes,Yes
40,,25 sqm,26 000 000  Rwf,4.0,3.0,,,,Yes,Yes
41,Kanombe,25/30 m,65 000 000  Rwf,,1.0,,,,Yes,Yes
42,Gisozi,15/20 m,12 000 000  Rwf,,1.0,,,,,
43,Remera, sqm,110 000 000  Rwf,4.0,3.0,,,Yes,Yes,
44,Kanombe,20/30 m,10 000 000  Rwf,4.0,0.0,,,,Yes,Yes
45,Kabeza, sqm,35 000 000  Rwf,4.0,3.0,,Yes,,,
46,Masaka,20/30 m,nan Negotiable,,,,,,,
47,,30/20 m,120 000 000  Rwf,4.0,3.0,,Yes,,Yes,Yes
48,Kabuga, sqm,15 000 000  Rwf,4.0,3.0,,Yes,,,
49,Kanombe, sqm,100 000 000  Rwf,4.0,3.0,,,,Yes,Yes
50,Kicukiro,20/30 m,55 000 000  Rwf,4.0,4.0,,,,,
51,Gikondo, sqm,52 000 000  Rwf,,,,,,,
52,Kicukiro,25/25 m,100 000 000  Rwf,5.0,3.0,,,,Yes,Yes
53,Kiyovu,3338 sqm,350 000 000  Rwf,5.0,2.0,,Yes,,Yes,
54,Kimironko,25/30 m,55 000 000  Rwf,4.0,3.0,,,,,
55,Niboye,25/30 m,75 000 000  Rwf,4.0,3.0,,,,Yes,Yes
56,,30/20 m,70 000 000  Rwf,4.0,3.0,,,,,
57,Kibagabaga,30/30 m,150 000 000  Rwf,5.0,4.0,,,,Yes,Yes
58,Karuruma, sqm,90 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
59,, sqm,25 000 000  Rwf,4.0,2.0,,,,Yes,
60,,750 sqm,25 000 000  Rwf,4.0,1.0,,,,,Yes
61,Gikondo, sqm,35 000 000  Rwf,4.0,2.0,,Yes,,,
62,Kibagabaga, sqm,50 000 000  Rwf,,,,,,,
63,Gikondo,20/30 m,55 000 000  Rwf,4.0,3.0,,,,,
64,Kanombe, sqm,30 000 000  Rwf,4.0,3.0,,Yes,,,
65,,1200 sqm,22 000 000  Rwf,5.0,2.0,,,Yes,,Yes
66,Gkondo, sqm,70 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
67,Kabeza,20/20 m,47 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,
68,Kanombe,25/30 m,50 000 000  Rwf,4.0,3.0,,,,Yes,Yes
69,Gisozi,20/30 m,50 000 000  Rwf,4.0,3.0,,,,Yes,Yes
70,Kanombe, sqm,41 000 000  Rwf,4.0,2.0,Yes,,,,
71,Trade,6 sqm, 6 $,,,,,,Yes,
72,,25 sqm,10 000 000  Rwf,,,,,,,
73,Kagarama, sqm,70 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
74,Gacuriro,20/30 m,250 000 000  Rwf,6.0,5.0,,,,,
75,, sqm,8 500 000  Rwf,3.0,1.0,,,,Yes,
76,Kanombe, sqm,49 000 000  Rwf,4.0,3.0,,Yes,,,
77,Kimironko, sqm,55 000 000  Rwf,4.0,3.0,,Yes,,,
78,Kanombe, sqm,55 000 000  Rwf,4.0,3.0,,,,Yes,Yes
79,Kanombe,25/20 m,52 000 000  Rwf,4.0,3.0,,,,Yes,Yes
80,Kibagabaga,30/30 m,130 000 000  Rwf,4.0,4.0,,,,Yes,Yes
81,Kabeza, sqm,90 000 000  Rwf,5.0,3.0,Yes,,Yes,Yes,
82,,20/16 m,6 000 000  Rwf,3.0,,,,,,
83,Nyamata,30/30 m,25 000 000  Rwf,4.0,3.0,,,,,
84,Kibagabaga,25/30 m,120 000 000  Rwf,4.0,4.0,,,,Yes,Yes
85,Kimironko,20/30 m,35 000 000  Rwf,4.0,3.0,,,,,
86,Kibagabaga, sqm,110 000 000  Rwf,4.0,3.0,,Yes,,,
87,Kibagabaga,30/25 m,63 000 000  Rwf,5.0,3.0,,,,Yes,Yes
88,Kimironko,24/20 m,65 000 000  Rwf,4.0,3.0,,,,Yes,Yes
89,Gisozi,750 sqm,55 000 000  Rwf,3.0,2.0,,,Yes,,Yes
90,Kibagabaga, sqm,140 000 000  Rwf,4.0,3.0,,Yes,,,
91,Gacuriro,30/25 m,110 000 000  Rwf,4.0,4.0,,,,Yes,Yes
92,Kicukiro,25/30 m,75 000 000  Rwf,4.0,3.0,,,,Yes,Yes
93,Kanombe, sqm,38 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
94,Gikondo, sqm,45 000 000  Rwf,4.0,3.0,,,,Yes,
95,Nyarutarama,30/35 m,450 000 000  Rwf,6.0,5.0,Yes,,,Yes,Yes
96,Rusororo, sqm,80 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
97,Kicukiro,35/30 m,200 000 000  Rwf,6.0,5.0,,,,Yes,Yes
98,Kagarama, sqm,55 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
99,Kimironko,300 sqm,25 000 000  Rwf,4.0,2.0,,,,,
100,Gisozi, sqm,30 000 000  Rwf,3.0,3.0,Yes,Yes,Yes,Yes,Yes
101,Kimironko,24/20 m,65 000 000  Rwf,4.0,3.0,,,,Yes,Yes
102,Kanombe,25/20 m,50 000 000  Rwf,4.0,3.0,,,,Yes,Yes
103,Kagarama,20/30 m,85 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,
104,Masaka,2383 sqm,45 000 000  Rwf,4.0,3.0,,Yes,,Yes,
105,Kagarama,20/30 m,65 000 000  Rwf,4.0,1.0,,,,,Yes
106,Kimironko,20/20 m,35 000 000  Rwf,4.0,2.0,,,,Yes,Yes
